rank,name,repository_url,bucket,science_score,project_score,total_citations,category,sub_category,language,owner_login,owner_name,owner_kind,owner_company,owner_website,ecosystems,package_names,monthly_downloads,dependent_repos,dependent_packages,registry_maintainers,stars,archived,days_since_release,days_since_commit,days_since_push,total_committers,past_year_commits,past_year_committers,dds,past_year_dds,issue_maintainers_count,active_maintainers_count,active_maintainers,past_year_issues,past_year_prs,past_year_issues_closed,past_year_prs_merged,advisories,unpatched_advisories,signals,science_html_url
1516,root_numpy,https://github.com/scikit-hep/root_numpy,dead,95.0,7.731053144007127,0,Scientific Software,Peer-reviewed,Python,scikit-hep,Scikit-HEP Project,organization,,https://scikit-hep.org,conda,root_numpy,0,0,1,0,134,1,2759,,1301,17,0,0,0.26815642458100564,0.0,6,0,"",0,0,0,0,0,0,archived push:1301d release:2759d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/3006
1517,Ngesh,https://github.com/tresoldi/ngesh,unknown,95.0,7.724004656676065,0,Scientific Software,Peer-reviewed,Python,tresoldi,Tiago Tresoldi,user,Uppsala universitet,http://www.tresoldi.org,pypi,ngesh,56,1,0,1,13,0,1487,,1487,3,0,0,0.042328042328042326,0.0,1,0,"",0,0,0,0,0,0,push:1487d release:1487d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1737
1518,The nnlib2 library and nnlib2Rcpp R package for implementing neural networks,https://github.com/vnnikolaidis/nnlib2rcpp,unknown,93.0,9.722684841711443,0,Scientific Software,Peer-reviewed,C++,,,,,,cran,nnlib2Rcpp,427,0,0,1,13,0,658,,512,3,0,0,0.009852216748768461,0.0,1,0,"",0,0,0,0,0,0,push:512d release:658d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1882
1519,OpenSCM Two Layer Model,https://github.com/openscm/openscm-twolayermodel,unknown,95.0,7.718685495198466,0,Scientific Software,Peer-reviewed,Python,openscm,OpenSCM,organization,,,"conda,pypi",openscm-twolayermodel,22,1,0,2,11,0,1871,,884,6,0,0,0.08287292817679559,0.0,2,0,"",0,0,0,0,0,0,push:884d release:1871d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1858
1520,Olaf,https://github.com/jorensix/olaf,active,95.0,7.716015266642588,0,Scientific Software,Peer-reviewed,C,JorenSix,Joren Six,user,"IPEM, University Ghent",http://0110.be,,,0,,,,404,0,,,40,8,99,3,0.059374999999999956,0.07070707070707072,1,1,JorenSix,4,7,4,4,0,0,push:40d commits:99 active_maint:1 closed:10 merged:4,https://science.ecosyste.ms/projects/1076
1521,SPICY,https://github.com/mendezvki/spicy_vki,dormant,95.0,7.716015266642588,0,Scientific Software,Peer-reviewed,Jupyter Notebook,mendezVKI,,user,von Karman Institute for Fluid Dynamics,,pypi,spicy-vki,32,0,0,2,13,0,604,,246,6,3,2,0.5668789808917197,0.33333333333333337,0,0,"",0,0,0,0,0,0,push:246d release:604d commits:3 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/863
1522,multimatch-gaze,https://github.com/adswa/multimatch_gaze,dead,93.0,9.71474542793925,0,Scientific Software,Peer-reviewed,Python,adswa,Adina Wagner,user, @psychoinformatics-de,www.adina-wagner.com,pypi,multimatch-gaze,67,1,0,1,41,0,2042,,2042,6,0,0,0.09792284866468848,0.0,3,0,"",1,0,0,0,0,0,push:2042d release:2042d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2480
1523,SALSA,https://github.com/biboyd/salsa,active,95.0,7.7142311448490855,0,Scientific Software,Peer-reviewed,Python,biboyd,Brendan Boyd,user,,,pypi,astro-salsa,34,0,0,1,5,0,2027,,100,9,53,1,0.3947826086956522,0.0,1,0,"",0,0,0,0,0,0,push:100d release:2027d commits:53 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2149
1524,AirTrafficSim,https://github.com/hkust-octad-lab/airtrafficsim,active,93.0,9.71232704707497,0,Scientific Software,Peer-reviewed,Python,HKUST-OCTAD-LAB,HKUST-OCTAD-LAB,organization,,https://octadlab.ust.hk/,pypi,airtrafficsim,58,0,0,1,68,0,540,,142,4,0,0,0.04597701149425293,0.0,2,0,"",0,0,0,0,0,0,push:142d release:540d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1095
1525,VineCopulas,https://github.com/vu-ivm/vinecopulas,dormant,98.0,4.709530201312334,0,Scientific Software,Peer-reviewed,Python,VU-IVM,VU-IVM,organization,,https://www.ivm.vu.nl/en/index.aspx,,,0,,,,39,0,,,119,3,7,1,0.07906976744186045,0.0,3,1,judithclaassen,1,5,0,4,0,0,push:119d commits:7 active_maint:1 closed:5 merged:4,https://science.ecosyste.ms/projects/501
1526,transformers,https://github.com/huggingface/transformers,active,64.0,38.70906296391504,0,,,Python,huggingface,Hugging Face,organization,,https://huggingface.co/,"pypi,conda,spack","transformers,divyanx-transformers,transformers-machinify,transformers-phobert,transformers-v4.55.0-glm-4.5v-preview,my-transformers,transformers-mcw,transformers-qwenomni,xmersawitransformers,mcwtransformers,py-transformers,in-transformers,mcwtimesformer,t-draft-123",95266422,31800,2589,4,163107,0,335,,1,3839,3701,731,0.9367193280236759,0.9232639827073764,86,37,"ydshieh,zucchini-nlp,Cyrilvallez,gante,qgallouedec,ArthurZucker,SunMarc,remi-or,3outeille,yonigozlan,stevhliu,tarekziade,IlyasMoutawwakil,Rocketknight1,hmellor,ivarflakstad,LysandreJik,eustlb,McPatate,molbap,michaelbenayoun,vasqu,BenjaminBossan,itazap,qubvel,Abdennacer-Badaoui,AmineDiro,albertvillanova,guarin,Isotr0py,tomaarsen,pcuenca,matthewdouglas,lewtun,Vaibhavs10,NielsRogge,winglian",486,1740,204,566,22,0,push:1d release:335d commits:3693 active_maint:37 closed:1021 merged:566 adv:22/0,https://science.ecosyste.ms/projects/59823
1527,anadrofish,https://github.com/danstich/anadrofish,dormant,100.0,2.70805020110221,0,Scientific Software,Peer-reviewed,R,danStich,,user,SUNY Oneonta,https://danstich.github.io/stich/,,,0,,,,5,0,,,139,3,10,2,0.012048192771084376,0.19999999999999996,1,0,"",13,1,11,0,0,0,push:139d commits:8 active_maint:0 closed:11 merged:0,https://science.ecosyste.ms/projects/37
1528,Evoke,https://github.com/signalling-games-org/evoke,dormant,100.0,2.70805020110221,0,Scientific Software,Peer-reviewed,Python,signalling-games-org,Signalling Games,organization,,,,,0,,,,6,0,,,99,3,6,1,0.4331065759637188,0.0,1,1,stephenfmann,1,0,1,0,0,0,push:99d commits:6 active_maint:1 closed:1 merged:0,https://science.ecosyste.ms/projects/385
1529,SurvivalVolume,https://github.com/genomematt/survivalvolume,active,100.0,2.70805020110221,0,Scientific Software,Peer-reviewed,Jupyter Notebook,genomematt,Matthew Wakefield,user,,,,,0,,,,2,0,,,122,5,0,0,0.5555555555555556,0.0,1,0,"",0,0,0,0,0,0,push:122d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/3080
